iter:265/500; best_distance:10127.552143541274;
iter:266/500; best_distance:10127.552143541274;
iter:267/500; best_distance:10127.552143541274;
iter:268/500; best_distance:10127.552143541274;
iter:269/500; best_distance:10127.552143541274;
iter:270/500; best_distance:10127.552143541274;
iter:271/500; best_distance:10127.552143541274;
iter:272/500; best_distance:10127.552143541274;
iter:273/500; best_distance:10127.552143541274;
iter:274/500; best_distance:10127.552143541274;
iter:275/500; best_distance:10127.552143541274;
iter:276/500; best_distance:10127.552143541274;
iter:277/500; best_distance:10127.552143541274;
iter:278/500; best_distance:10127.552143541274;
iter:279/500; best_distance:10127.552143541274;
iter:280/500; best_distance:10127.552143541274;
iter:281/500; best_distance:10127.552143541274;
iter:282/500; best_distance:10127.552143541274;
iter:283/500; best_distance:10127.552143541274;
iter:284/500; best_distance:10127.552143541274;
iter:285/500; best_distance:10127.552143541274;
iter:286/500; best_distance:10127.552143541274;
iter:287/500; best_distance:10127.552143541274;
iter:288/500; best_distance:10127.552143541274;
iter:289/500; best_distance:10127.552143541274;
iter:290/500; best_distance:10127.552143541274;
iter:291/500; best_distance:10127.552143541274;
iter:292/500; best_distance:10127.552143541274;
iter:293/500; best_distance:10127.552143541274;
iter:294/500; best_distance:10127.552143541274;
iter:295/500; best_distance:10127.552143541274;
iter:296/500; best_distance:10127.552143541274;
iter:297/500; best_distance:10127.552143541274;
iter:298/500; best_distance:10127.552143541274;
iter:299/500; best_distance:10127.552143541274;
iter:300/500; best_distance:10127.552143541274;
iter:301/500; best_distance:10127.552143541274;
iter:302/500; best_distance:10127.552143541274;
iter:303/500; best_distance:10127.552143541274;
iter:304/500; best_distance:10127.552143541274;
iter:305/500; best_distance:10127.552143541274;
iter:306/500; best_distance:10127.552143541274;
iter:307/500; best_distance:10127.552143541274;
iter:308/500; best_distance:10127.552143541274;
iter:309/500; best_distance:10127.552143541274;
iter:310/500; best_distance:10127.552143541274;
iter:311/500; best_distance:10127.552143541274;
iter:312/500; best_distance:10127.552143541274;
iter:313/500; best_distance:10127.552143541274;
iter:314/500; best_distance:10127.552143541274;
iter:315/500; best_distance:10127.552143541274;
iter:316/500; best_distance:10127.552143541274;
iter:317/500; best_distance:10127.552143541274;
iter:318/500; best_distance:10127.552143541274;
iter:319/500; best_distance:10127.552143541274;
iter:320/500; best_distance:10127.552143541274;
iter:321/500; best_distance:10127.552143541274;
iter:322/500; best_distance:10127.552143541274;
iter:323/500; best_distance:10127.552143541274;
iter:324/500; best_distance:10127.552143541274;
iter:325/500; best_distance:10127.552143541274;
iter:326/500; best_distance:10127.552143541274;
iter:327/500; best_distance:10127.552143541274;
iter:328/500; best_distance:10127.552143541274;
iter:329/500; best_distance:10127.552143541274;
iter:330/500; best_distance:10127.552143541274;
iter:331/500; best_distance:10127.552143541274;
iter:332/500; best_distance:10127.552143541274;
iter:333/500; best_distance:10127.552143541274;
iter:334/500; best_distance:10127.552143541274;
iter:335/500; best_distance:10127.552143541274;
iter:336/500; best_distance:10127.552143541274;
iter:337/500; best_distance:10127.552143541274;
iter:338/500; best_distance:10127.552143541274;
iter:339/500; best_distance:10127.552143541274;
iter:340/500; best_distance:10127.552143541274;
iter:341/500; best_distance:10127.552143541274;
iter:342/500; best_distance:10127.552143541274;
